,DATE,COMPANY,LT_DEBT_TO_COM_EQY
481,2011-07-19,aapl us equity,0.0
482,2011-07-18,aapl us equity,0.0
483,2011-07-17,aapl us equity,0.0
484,2011-07-14,aapl us equity,0.0
485,2011-07-13,aapl us equity,0.0
486,2011-07-12,aapl us equity,0.0
487,2011-07-11,aapl us equity,0.0
488,2011-07-10,aapl us equity,0.0
489,2011-07-07,aapl us equity,0.0
490,2011-07-06,aapl us equity,0.0
491,2011-07-05,aapl us equity,0.0
492,2011-07-04,aapl us equity,0.0
493,2011-07-03,aapl us equity,0.0
494,2011-06-30,aapl us equity,0.0
495,2011-06-29,aapl us equity,0.0
496,2011-06-28,aapl us equity,0.0
497,2011-06-27,aapl us equity,0.0
498,2011-06-26,aapl us equity,0.0
499,2011-06-23,aapl us equity,0.0
500,2011-06-22,aapl us equity,0.0
501,2011-06-21,aapl us equity,0.0
502,2011-06-20,aapl us equity,0.0
503,2011-06-19,aapl us equity,0.0
504,2011-06-16,aapl us equity,0.0
505,2011-06-15,aapl us equity,0.0
506,2011-06-14,aapl us equity,0.0
507,2011-06-13,aapl us equity,0.0
508,2011-06-12,aapl us equity,0.0
509,2011-06-09,aapl us equity,0.0
510,2011-06-08,aapl us equity,0.0
511,2011-06-07,aapl us equity,0.0
512,2011-06-06,aapl us equity,0.0
513,2011-06-05,aapl us equity,0.0
514,2011-06-02,aapl us equity,0.0
515,2011-06-01,aapl us equity,0.0
516,2011-05-31,aapl us equity,0.0
517,2011-05-30,aapl us equity,0.0
518,2011-05-29,aapl us equity,0.0
519,2011-05-26,aapl us equity,0.0
520,2011-05-25,aapl us equity,0.0
521,2011-05-24,aapl us equity,0.0
522,2011-05-23,aapl us equity,0.0
523,2011-05-22,aapl us equity,0.0
524,2011-05-19,aapl us equity,0.0
525,2011-05-18,aapl us equity,0.0
526,2011-05-17,aapl us equity,0.0
527,2011-05-16,aapl us equity,0.0
528,2011-05-15,aapl us equity,0.0
529,2011-05-12,aapl us equity,0.0
530,2011-05-11,aapl us equity,0.0
531,2011-05-10,aapl us equity,0.0
532,2011-05-09,aapl us equity,0.0
533,2011-05-08,aapl us equity,0.0
534,2011-05-05,aapl us equity,0.0
535,2011-05-04,aapl us equity,0.0
536,2011-05-03,aapl us equity,0.0
537,2011-05-02,aapl us equity,0.0
538,2011-05-01,aapl us equity,0.0
539,2011-04-28,aapl us equity,0.0
540,2011-04-27,aapl us equity,0.0
541,2011-04-26,aapl us equity,0.0
542,2011-04-25,aapl us equity,0.0
543,2011-04-24,aapl us equity,0.0
544,2011-04-21,aapl us equity,0.0
545,2011-04-20,aapl us equity,0.0
546,2011-04-19,aapl us equity,0.0
547,2011-04-18,aapl us equity,0.0
548,2011-04-17,aapl us equity,0.0
549,2011-04-14,aapl us equity,0.0
550,2011-04-13,aapl us equity,0.0
551,2011-04-12,aapl us equity,0.0
552,2011-04-11,aapl us equity,0.0
553,2011-04-10,aapl us equity,0.0
554,2011-04-07,aapl us equity,0.0
555,2011-04-06,aapl us equity,0.0
556,2011-04-05,aapl us equity,0.0
557,2011-04-04,aapl us equity,0.0
558,2011-04-03,aapl us equity,0.0
559,2011-03-31,aapl us equity,0.0
560,2011-03-30,aapl us equity,0.0
561,2011-03-29,aapl us equity,0.0
562,2011-03-28,aapl us equity,0.0
563,2011-03-27,aapl us equity,0.0
564,2011-03-24,aapl us equity,0.0
565,2011-03-23,aapl us equity,0.0
566,2011-03-22,aapl us equity,0.0
567,2011-03-21,aapl us equity,0.0
568,2011-03-20,aapl us equity,0.0
569,2011-03-17,aapl us equity,0.0
570,2011-03-16,aapl us equity,0.0
571,2011-03-15,aapl us equity,0.0
